UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
240754,"R",517,"R",774,"R",67,"R",497,"R",0,"R",497,"R",331,"R",67,"R",105,"R",0,"R",105,"R",52,"R",50,"R",18
240790,"R",260,"R",400,"R",65,"R",20,"R",0,"R",20,"R",10,"R",50,"R",2,"R",0,"R",2,"R",1,"R",50,"R",22
240879,"A",,"A",,"A",,"R",263,"R",0,"R",263,"R",208,"R",79,"R",0,"R",0,"R",0,"R",0,"A",,"R",42
240985,"A",,"A",,"A",,"R",232,"R",0,"R",232,"R",129,"R",56,"R",0,"R",0,"R",0,"R",0,"A",,"R",31
241100,"R",276,"R",348,"R",79,"R",170,"R",0,"R",170,"R",124,"R",73,"R",3,"R",0,"R",3,"R",0,"R",0,"R",26
241128,"R",220,"R",279,"R",79,"R",120,"Z",0,"R",120,"R",102,"R",85,"R",1,"Z",0,"R",1,"R",1,"R",100,"R",24
241146,"A",,"A",,"A",,"R",420,"R",0,"R",420,"R",176,"R",42,"R",3,"R",0,"R",3,"R",1,"R",33,"R",17
241182,"A",,"A",,"A",,"R",108,"R",0,"R",108,"R",78,"R",72,"R",0,"R",0,"R",0,"R",0,"A",,"R",20
241191,"R",174,"R",271,"R",64,"R",155,"R",0,"R",155,"R",113,"R",73,"R",2,"R",0,"R",2,"R",0,"R",0,"R",17
241216,"R",239,"R",339,"R",71,"R",220,"R",0,"R",220,"R",162,"R",74,"R",18,"R",0,"R",18,"R",11,"R",61,"R",20
241225,"R",277,"R",443,"R",63,"R",236,"R",0,"R",236,"R",161,"R",68,"R",36,"R",0,"R",36,"R",14,"R",39,"R",23
241304,"R",198,"R",226,"R",88,"R",119,"R",0,"R",119,"R",51,"R",43,"R",41,"R",0,"R",41,"R",11,"R",27,"R",21
241331,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
241377,"R",327,"R",440,"R",74,"R",353,"R",0,"R",353,"R",53,"R",15,"R",49,"R",0,"R",49,"R",9,"R",18,"R",16
241386,"R",96,"R",141,"R",68,"R",109,"R",0,"R",109,"R",21,"R",19,"R",30,"R",0,"R",30,"R",6,"R",20,"R",11
241395,"R",101,"R",147,"R",69,"R",55,"R",0,"R",55,"R",41,"R",75,"R",0,"R",0,"R",0,"R",0,"A",,"R",18
241410,"R",996,"R",1239,"R",80,"R",885,"R",0,"R",885,"R",676,"R",76,"R",1,"Z",0,"R",1,"R",1,"R",100,"R",23
241517,"R",335,"R",386,"R",87,"R",275,"R",0,"R",275,"R",249,"R",91,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",36
241614,"R",2,"R",10,"R",20,"R",5,"R",0,"R",5,"R",5,"R",100,"R",7,"R",0,"R",7,"R",4,"R",57,"R",12
241720,"R",347,"R",595,"R",58,"R",102,"R",0,"R",102,"R",49,"R",48,"R",11,"Z",0,"R",11,"R",7,"R",64,"R",16
241739,"R",1792,"R",2480,"R",72,"R",1101,"R",0,"R",1101,"R",785,"R",71,"R",84,"R",0,"R",84,"R",28,"R",33,"R",35
241766,"R",20,"R",83,"R",24,"R",31,"Z",0,"R",31,"R",27,"R",87,"R",33,"Z",0,"R",33,"R",20,"R",61,"R",5
241836,"R",174,"R",311,"R",56,"R",21,"R",0,"R",21,"R",15,"R",71,"R",36,"R",0,"R",36,"R",27,"R",75,"R",21
241906,"A",,"A",,"A",,"R",126,"R",0,"R",126,"R",98,"R",78,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",20
241951,"R",67,"R",118,"R",57,"R",65,"R",0,"R",65,"R",49,"R",75,"R",5,"R",0,"R",5,"R",3,"R",60,"R",13
242042,"R",301,"R",383,"R",79,"R",363,"R",0,"R",363,"R",261,"R",72,"R",2,"R",0,"R",2,"R",1,"R",50,"R",14
242112,"R",357,"R",817,"R",44,"R",372,"R",0,"R",372,"R",237,"R",64,"R",0,"R",0,"R",0,"R",0,"A",,"R",27
242121,"R",183,"R",219,"R",84,"R",202,"R",0,"R",202,"R",164,"R",81,"R",13,"R",0,"R",13,"R",5,"R",38,"R",16
242130,"R",100,"R",137,"R",73,"R",148,"R",0,"R",148,"R",33,"R",22,"R",13,"R",0,"R",13,"R",7,"R",54,"R",19
